text,slot,intent
tăng đèn chùm 4 15 phần trăm tại phòng chánh 5 phòng 7,O B-devicedevice I-devicedevice I-devicedevice B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber,smart.home.increase.percentage
tăng lên đèn lồng thứ 1 sân vườn thêm 24 phần trăm,B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage,smart.home.increase.percentage
tăng đèn trụ cổng 4 29 phần trăm tại phòng thực hành lầu trệt 9,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber I-floornumberfloornumber,smart.home.increase.percentage
hãy tăng giúp ta cái bòng hắt trần 1 ở phòng ăn trưa 1,O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom,smart.home.increase.percentage
tăng độ sáng điện thêm 8 phần trăm,B-commandcommand O O B-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage,smart.home.increase.percentage
tăng lên độ sáng led 1 phòng hội nghị 4 lên 72 phần trăm,B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,smart.home.increase.percentage
bạn tăng bóng ốp tường thứ 1 ở phòng ngủ con lên 4 phần trăm giúp mình nhé,O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O O,smart.home.increase.percentage
bạn giúp mình tăng bóng 4 lên 3 phần trăm với,O O O O B-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O,smart.home.increase.percentage
bạn có thể giúp mình tăng mức độ của bóng hắt bên phòng thờ lên 23 phần trăm được không,O O O O O O O O O B-devicedevice I-devicedevice O B-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O,smart.home.increase.percentage
ơi bạn đèn tuýp tăng lên 29 phần trăm ná,O O B-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O,smart.home.increase.percentage
bạn giúp mình tăng rèm đôi thứ 4 lên 19 phần trăm với,O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O,smart.home.increase.percentage
bạn có thể tăng giúp mình đèn tường 1 lên mức 7 phần trăm được không,O O O O O O B-devicedevice I-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O,smart.home.increase.percentage
bạn có thể tăng giúp mình độ sáng ốp tường lên được không,O O O O O O O O B-devicedevice I-devicedevice O O O,smart.home.increase.percentage
ơi bạn đèn ngủ tăng lên 18 phần trăm ná,O O B-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O,smart.home.increase.percentage
giúp mình tăng bóng để bàn lên 3 phần trăm ở khách 3 phòng 2 nhé,O O O B-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber O,smart.home.increase.percentage
thay đổi bóng hắt tường 2 nhé,O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O,smart.home.increase.percentage
bật loa đài thứ 1 đi trợ lý,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O O,smart.home.increase.percentage
ốp trần 2 thêm 29 phần trăm,B-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage,smart.home.increase.percentage
tăng bóng tuýp thứ 4 lên 17 phần trăm,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage,smart.home.increase.percentage
bạn giúp mình tăng bóng đứng thứ 4 lên 15 phần trăm với,O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O,smart.home.increase.percentage
mình muốn tăng đèn ốp tường 2,O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice,smart.home.increase.percentage
hãy tăng giúp ta cái van nước 2 ở sân sau,O O O O O B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom,smart.home.increase.percentage
ơi bạn quạt treo tường 3 tăng lên 19 phần trăm ná,O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O,smart.home.increase.percentage
bật đèn để bàn thứ 2 đi trợ lý,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O O O,smart.home.increase.percentage
tăng độ sáng đèn đứng phòng là lên 96 phần trăm,B-commandcommand O O B-devicedevice I-devicedevice B-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,smart.home.increase.percentage
trợ lí ngốc nghếch tôi muốn tăng mức độ động cơ thứ 3,O O O O O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice,smart.home.increase.percentage
bạn có thể giúp mình tăng mức độ của bóng tuýp thứ 3 bên phòng nghiên cứu 2 lên 13 phần trăm được không,O O O O O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O,smart.home.increase.percentage
tăng đến ánh sáng đèn led lên mức 77 phần trăm,B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice O O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,smart.home.increase.percentage
tăng đến mỗi tvs thứ 2 lên 95 phần trăm,B-commandcommand I-commandcommand B-allall B-devicedevice I-devicedevice I-devicedevice O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,smart.home.increase.percentage
giúp tôi tăng đến đèn nhiều màu thứ 2 phòng tắm 1 thêm 14 phần trăm nữa,O O B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O,smart.home.increase.percentage
bạn tăng đèn vách ở phòng xông hơi 3 9 lên 4 phần trăm hộ mình với bôi đen bạn bỏ dấu ngoặc kép ra nhé v,O O B-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom B-floornumberfloornumber O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O O O O O O O O O O O O,smart.home.increase.percentage
bạn có thể tăng giúp mình bóng hắt tường 3 lên mức 27 phần trăm được không,O O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O,smart.home.increase.percentage
bạn có thể tăng giúp mình van nước 2 lên mức 27 phần trăm được không,O O O O O O B-devicedevice I-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O,smart.home.increase.percentage
bạn tăng đèn cảnh ở ga ra phòng 1 lên 18 phần trăm hộ mình với bôi đen bạn bỏ dấu ngoặc kép ra nhé v,O O B-devicedevice I-devicedevice O B-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O O O O O O O O O O O O,smart.home.increase.percentage
làm ơn tăng thêm đèn âm trần 4 lên 81 phần trăm giúp tôi,O O B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage O O,smart.home.increase.percentage
trợ lí ngốc nghếch tôi muốn tăng mức độ rèm cửa,O O O O O O O O O B-devicedevice I-devicedevice,smart.home.increase.percentage
mình muốn tăng huỳnh quang thứ 1,O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice,smart.home.increase.percentage
trợ lý béo tăng đèn ốp tường thứ 4 lên 10 phần trăm ở phòng cuối 5 phòng 3,O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber,smart.home.increase.percentage
ơi bạn bóng tiết kiệm điện tăng lên 6 phần trăm ná,O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O,smart.home.increase.percentage
bạn tăng âm thanh đa vùng ở phòng ăn trưa lên 7 phần trăm giúp mình nhé,O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O O,smart.home.increase.percentage
rèm ngang đại sảnh tăng thêm lên 92 phần trăm,B-devicedevice I-devicedevice B-roomroom I-roomroom B-commandcommand I-commandcommand O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,smart.home.increase.percentage
tăng đến quạt treo tường 2 phòng giặt đến 95 phần trăm,B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,smart.home.increase.percentage
mình muốn tăng mức độ của bóng vách 4,O O O O O O B-devicedevice I-devicedevice I-devicedevice,smart.home.increase.percentage
em tăng giúp anh rèm ngang thứ 1 nhé,O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O,smart.home.increase.percentage
trợ lý béo tăng đèn tường thứ 2 lên 7 phần trăm ở tiền sảnh 5 10,O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom I-roomroom B-floornumberfloornumber,smart.home.increase.percentage
hãy tăng đến độ sáng quầy lễ tân lên 65 phần trăm,O B-commandcommand I-commandcommand O O B-roomroom I-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,smart.home.increase.percentage
bạn có thể tăng giúp mình độ sáng đèn tuýp thứ 4 lên được không,O O O O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O O,smart.home.increase.percentage
tăng quạt hút mùi thứ 2 lên 10 phần trăm ở phòng bếp 4 lầu trệt 2,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber I-floornumberfloornumber,smart.home.increase.percentage
trợ lí ngốc nghếch tôi muốn tăng mức độ đèn compact 2,O O O O O O O O O B-devicedevice I-devicedevice I-devicedevice,smart.home.increase.percentage
hãy tăng giúp ta cái đèn bàn thứ 2 ở tủ giữ đồ,O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom,smart.home.increase.percentage
thay đổi đèn tiết kiệm điện 2 nhé,O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O,smart.home.increase.percentage
tăng thêm đèn treo tường thứ 4 phòng giặt ủi đến 94 phần trăm,B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,smart.home.increase.percentage
tăng lên quạt thông gió thứ 4 lên 73 phần trăm nhé,B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage O,smart.home.increase.percentage
mình muốn tăng mức độ của đèn sợi đốt 1,O O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice,smart.home.increase.percentage
em tăng giúp anh bóng ngủ thứ 4 nhé,O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O,smart.home.increase.percentage
mình cần tăng thiết bị đèn ốp trần lên 19 phần trăm với,O O O O O B-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O,smart.home.increase.percentage
tăng nút ấn 20 phần trăm tại phòng chung 2 4,O B-devicedevice I-devicedevice B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom I-roomroom B-floornumberfloornumber,smart.home.increase.percentage
tăng ánh sáng bóng đứng lên mức 95 phần trăm,B-commandcommand O O B-devicedevice I-devicedevice O O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,smart.home.increase.percentage
bạn có thể tăng giúp mình độ sáng màn cuốn lên được không,O O O O O O O O B-devicedevice I-devicedevice O O O,smart.home.increase.percentage
mình muốn tăng bóng trụ cổng 3,O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice,smart.home.increase.percentage
bật kịch bản 3 đi trợ lý,O B-devicedevice I-devicedevice I-devicedevice O O O,smart.home.increase.percentage
trợ lí ngốc nghếch tôi muốn tăng mức độ đèn tuýp thứ 2,O O O O O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice,smart.home.increase.percentage
giúp mình tăng rèm ngang khách 4 lên 74 phần trăm,O O B-commandcommand B-devicedevice I-devicedevice B-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,smart.home.increase.percentage
trợ lý béo tăng downlight thứ 2 lên 4 phần trăm ở sân sau phòng 8,O O O O B-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber,smart.home.increase.percentage
bóng tiết kiệm điện phòng tiếp đón tăng thêm lên 54 phần trăm,B-devicedevice I-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom B-commandcommand I-commandcommand O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,smart.home.increase.percentage
tăng độ sáng ốp tường phòng dành cho nam 4 lên 89 phần trăm,B-commandcommand O O B-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom I-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,smart.home.increase.percentage
tăng rèm đôi thứ 4 4 phần trăm,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage,smart.home.increase.percentage
mình cần tăng thiết bị tvs thứ 4 lên 10 phần trăm với,O O O O O B-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O,smart.home.increase.percentage
hãy tăng thêm độ sáng phòng ngủ con lên 55 phần trăm,O B-commandcommand I-commandcommand O O B-roomroom I-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,smart.home.increase.percentage
giúp mình tăng đèn cổng thứ 2 lên 22 phần trăm nhé,O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O,smart.home.increase.percentage
giúp mình tăng đèn vách vườn sau 3 lên 76 phần trăm,O O B-commandcommand B-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,smart.home.increase.percentage
mình muốn tăng mức độ của tivi 3,O O O O O O B-devicedevice I-devicedevice,smart.home.increase.percentage
tăng bóng sân 3 lên 19 phần trăm ở văn phòng 7,O B-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom B-floornumberfloornumber,smart.home.increase.percentage
tăng lên đèn chùm 4 phòng dành cho nữ 5 thêm 22 phần trăm,B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom I-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage,smart.home.increase.percentage
tăng thêm hết nút nhấn lên 79 phần trăm,B-commandcommand I-commandcommand B-allall B-devicedevice I-devicedevice O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,smart.home.increase.percentage
tăng đèn màu phòng vệ sinh 5 đến 66 phần trăm,B-commandcommand B-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,smart.home.increase.percentage
giúp mình tăng đèn ốp tường 1 lên 12 phần trăm nhé,O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O,smart.home.increase.percentage
mình muốn tăng mức độ của nút ấn 2,O O O O O O B-devicedevice I-devicedevice I-devicedevice,smart.home.increase.percentage
bạn tăng bóng led 1 ở phòng họp gia đình lên 9 phần trăm giúp mình nhé,O O B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O O,smart.home.increase.percentage
em tăng giúp anh đèn treo tường 4 nhé,O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O,smart.home.increase.percentage
giúp mình tăng bóng hắt tường phòng trẻ con 3 lên 98 phần trăm,O O B-commandcommand B-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,smart.home.increase.percentage
mình muốn tăng quạt lên 21 phần trăm,O O O B-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage,smart.home.increase.percentage
tăng đèn trần thứ 2 lên 22 phần trăm giúp mình,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O,smart.home.increase.percentage
tăng độ sáng bóng vườn thêm 7 phần trăm,B-commandcommand O O B-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage,smart.home.increase.percentage
tăng đến ánh sáng bóng rủ 1 lên mức 91 phần trăm,B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice I-devicedevice O O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,smart.home.increase.percentage
tăng huỳnh quang thứ 3 3 phần trăm tại khách 5 phòng 5,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber,smart.home.increase.percentage
làm ơn tăng tvs 3 lên 52 phần trăm giúp tôi,O O B-commandcommand B-devicedevice I-devicedevice O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage O O,smart.home.increase.percentage
giúp mình tăng đèn học thứ 2 lên 25 phần trăm nhé,O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O,smart.home.increase.percentage
bạn có thể tăng giúp mình độ sáng bóng đứng 3 lên được không,O O O O O O O O B-devicedevice I-devicedevice I-devicedevice O O O,smart.home.increase.percentage
giúp mình tăng bóng để bàn lên 4 phần trăm ở phòng ngủ con trai 7 nhé,O O O B-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom I-roomroom I-roomroom B-floornumberfloornumber O,smart.home.increase.percentage
tăng bóng vách phòng ông bà 1 đến 50 phần trăm,B-commandcommand B-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,smart.home.increase.percentage
giúp mình tăng tivi 1 lên 15 phần trăm ở phòng trẻ con 4 phòng 3 nhé,O O O B-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom I-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber O,smart.home.increase.percentage
bật bóng âm trần 3 đi trợ lý,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O O,smart.home.increase.percentage
bạn có thể giúp mình tăng mức độ của kiểng bên ban công lên 23 phần trăm được không,O O O O O O O O O B-devicedevice O B-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O,smart.home.increase.percentage
thay đổi đèn nhiều màu thứ 4 nhé,O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O,smart.home.increase.percentage
led phòng nghỉ ngơi 2 tăng đến lên 51 phần trăm,B-devicedevice B-roomroom I-roomroom I-roomroom I-roomroom B-commandcommand I-commandcommand O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,smart.home.increase.percentage
ơi bạn bóng hắt tăng lên 30 phần trăm ná,O O B-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O,smart.home.increase.percentage
hãy tăng độ sáng phòng bố mẹ lên 73 phần trăm,O B-commandcommand O O B-roomroom I-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage,smart.home.increase.percentage
tăng độ sáng quạt thứ 2 thêm 27 phần trăm,B-commandcommand O O B-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage,smart.home.increase.percentage
bạn tăng đèn thả 3 ở phòng thực hành 1 lên 19 phần trăm giúp mình nhé,O O B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O O,smart.home.increase.percentage
tăng đèn led 3 12 phần trăm,O B-devicedevice I-devicedevice I-devicedevice B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage,smart.home.increase.percentage
